,TC_NAME,Request Data,Response Data
0,004_VTC_authorize_TC1_필수파라미터누락,"[2, '7745be99-c1f3-4e49-933a-c79e796a4ba0', 'authorize', '{}']","[4, '7745be99-c1f3-4e49-933a-c79e796a4ba0', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
1,004_VTC_authorize_TC2_필수파라미터null,"[2, 'cd92f2b4-7520-4a57-ab37-afc47d0a336f', 'authorize', '{    ""idTag"": """"}']","[4, 'cd92f2b4-7520-4a57-ab37-afc47d0a336f', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
2,004_VTC_authorize_TC3_파라미터size,"[2, 'e7c5b8c9-a7db-49d3-a8df-319727c2c4a1', 'authorize', '{    ""idTag"": ""10100101794563631111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111""}']","[4, 'e7c5b8c9-a7db-49d3-a8df-319727c2c4a1', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
3,004_VTC_authorize_TC4_특수문자,"[2, 'b3f15688-8540-4ace-ac75-a95d69e18398', 'authorize', '{    ""idTag"": ""101001017945636#""}']","[4, 'b3f15688-8540-4ace-ac75-a95d69e18398', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
4,004_VTC_authorize_TC5_띄어쓰기,"[2, '7a28e868-1736-4898-b335-c2ade376f334', 'authorize', '{    ""idTag"": ""10100101 9456363""}']","[4, '7a28e868-1736-4898-b335-c2ade376f334', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
5,004_VTC_authorize_TC6_파라미터type,"[2, 'e40ffa6c-523e-4e37-91ee-7b73bee3fa33', 'authorize', '{    ""idTag"": 1010010179456360}']","[4, 'e40ffa6c-523e-4e37-91ee-7b73bee3fa33', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
6,001_VTC_bootNotification_TC1_띄어쓰기_파라미터size_띄어쓰기_띄어쓰기_띄어쓰기_파라미터type_띄어쓰기_파라미터size,"[2, 'c939891d-fa2a-4489-bc01-e28f78d92ac3', 'bootNotification', '{    ""chargePointModel"":ELA007C01,    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA 0100584"",    ""firmwareVersion"": ""0.2.101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Reason"": ""PowerUp11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""lmsi"": ""450061222#990181""}']","[4, 'c939891d-fa2a-4489-bc01-e28f78d92ac3', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
7,001_VTC_bootNotification_TC2_띄어쓰기_파라미터type_띄어쓰기_필수파라미터null_특수문자_필수파라미터누락_파라미터type_띄어쓰기,"[2, 'f747d25e-75b5-499e-b8aa-8100bc96378c', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA 0100584"",    ""firmwareVersion"": """",    ""Reason"": """",    ""lmsi"": 450061222990181,    ""Entityid"": ""ASN_CSE-D- f288259452d-EVSP""}']","[4, 'f747d25e-75b5-499e-b8aa-8100bc96378c', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
8,001_VTC_bootNotification_TC3_띄어쓰기_파라미터type_특수문자_필수파라미터누락_띄어쓰기_필수파라미터누락_특수문자_특수문자,"[2, '3756e675-2eef-454b-86aa-4cd387995c76', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA#0100584"",    ""lmsi"": ""450061222#990181"",    ""Entityid"": ""ASN_CSE-D-#f288259452d-EVSP""}']","[4, '3756e675-2eef-454b-86aa-4cd387995c76', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
9,001_VTC_bootNotification_TC4_띄어쓰기_파라미터type_파라미터size_특수문자_필수파라미터누락_필수파라미터누락_파라미터type_필수파라미터누락,"[2, 'eb592621-4907-4119-abd4-29736e956418', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA01005841111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""firmwareVersion"": ""0.2#10"",    ""Reason"": ""Power#Up"",    ""lmsi"": 450061222990181}']","[4, 'eb592621-4907-4119-abd4-29736e956418', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
10,001_VTC_bootNotification_TC5_띄어쓰기_파라미터type_파라미터type_파라미터size_필수파라미터null_필수파라미터누락_필수파라미터null_특수문자,"[2, 'e47bbbe2-1fec-4b6a-9c16-8045902a332e', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"":EVSCA0100584,    ""firmwareVersion"": ""0.2.101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Reason"": ""PowerUp11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""lmsi"": """",    ""Entityid"": ""ASN_CSE-D-#f288259452d-EVSP""}']","[4, 'e47bbbe2-1fec-4b6a-9c16-8045902a332e', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
11,001_VTC_bootNotification_TC6_띄어쓰기_파라미터type_파라미터type_필수파라미터누락_파라미터type_필수파라미터누락_필수파라미터누락_필수파라미터null,"[2, 'dc1c8aaa-2a0c-44f0-9846-3ee341106cc0', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"":EVSCA0100584,    ""Entityid"": """"}']","[4, 'dc1c8aaa-2a0c-44f0-9846-3ee341106cc0', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
12,001_VTC_bootNotification_TC7_띄어쓰기_파라미터type_필수파라미터null_필수파라미터누락_특수문자_필수파라미터누락_파라미터size_파라미터type,"[2, 'd68f8eff-7535-446b-b5e2-6414396a2b04', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": """",    ""lmsi"": ""45006122299018111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Entityid"":ASN_CSE-D-f288259452d-EVSP}']","[4, 'd68f8eff-7535-446b-b5e2-6414396a2b04', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
13,001_VTC_bootNotification_TC8_띄어쓰기_파라미터type_필수파라미터누락_파라미터type_파라미터size_파라미터type_띄어쓰기_필수파라미터null,"[2, '5ccde6e7-6a96-4e3c-b6ec-39d52bc8ffd1', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""firmwareVersion"": 0.2.10,    ""Reason"":PowerUp,    ""rssi"": ""-4.2"",    ""lmsi"": ""450061222 990181"",    ""Entityid"": """"}']","[4, '5ccde6e7-6a96-4e3c-b6ec-39d52bc8ffd1', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
14,001_VTC_bootNotification_TC9_특수문자_파라미터size_특수문자_특수문자_특수문자_파라미터type_특수문자_필수파라미터null,"[2, '2002159c-809b-4e39-83c1-f0c3226be7a1', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"": ""EVAR11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointSerialNumber"": ""EVSCA#0100584"",    ""firmwareVersion"": ""0.2#10"",    ""Reason"": ""Power#Up"",    ""rssi"": ""-4.2"",    ""lmsi"": ""450061222#990181"",    ""Entityid"": """"}']","[4, '2002159c-809b-4e39-83c1-f0c3226be7a1', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
