,TC명,수행시간,요청 데이터,응답 데이터
0,004_VTC_authorize_TC1_필수파라미터누락,0.2608685999875888,"[2, '67218c57-bd29-4caa-8c2b-08ff7ba93596', 'authorize', '{}']","[4, '67218c57-bd29-4caa-8c2b-08ff7ba93596', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
1,004_VTC_authorize_TC2_필수파라미터null,0.13789749995339662,"[2, '487bd973-6f4a-4e17-95b9-0595d51af711', 'authorize', '{    ""idTag"": """"}']","[4, '487bd973-6f4a-4e17-95b9-0595d51af711', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
2,004_VTC_authorize_TC3_파라미터size,0.12093989993445575,"[2, '0472bc70-4302-432b-bd18-01c0bd85e033', 'authorize', '{    ""idTag"": ""10100101794563631111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111""}']","[4, '0472bc70-4302-432b-bd18-01c0bd85e033', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
3,004_VTC_authorize_TC4_특수문자,0.10926490009296685,"[2, 'e533ac67-3f62-451a-a742-8cc659a0c633', 'authorize', '{    ""idTag"": ""101001017945636#""}']","[4, 'e533ac67-3f62-451a-a742-8cc659a0c633', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
4,004_VTC_authorize_TC5_띄어쓰기,0.1102812000317499,"[2, 'fcd7c9e0-76c3-4273-b029-ce313e0f7b9d', 'authorize', '{    ""idTag"": ""10100101 9456363""}']","[4, 'fcd7c9e0-76c3-4273-b029-ce313e0f7b9d', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
5,004_VTC_authorize_TC6_파라미터type,0.12442689994350076,"[2, 'c0c3f779-5912-4bb2-a76e-4590833e4a49', 'authorize', '{    ""idTag"": 1010010179456360}']","[4, 'c0c3f779-5912-4bb2-a76e-4590833e4a49', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
6,001_VTC_bootNotification_TC1_띄어쓰기_파라미터size_띄어쓰기_띄어쓰기_띄어쓰기_파라미터type_띄어쓰기_파라미터size,0.1087592999683693,"[2, '678a5b76-a1de-40c1-a794-e51f83d04d40', 'bootNotification', '{    ""chargePointModel"":ELA007C01,    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA 0100584"",    ""firmwareVersion"": ""0.2.101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Reason"": ""PowerUp11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""lmsi"": ""450061222#990181""}']","[4, '678a5b76-a1de-40c1-a794-e51f83d04d40', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
7,001_VTC_bootNotification_TC2_띄어쓰기_파라미터type_띄어쓰기_필수파라미터null_특수문자_필수파라미터누락_파라미터type_띄어쓰기,0.10603649995755404,"[2, 'c2292fde-331c-46f6-bf35-45a4054530f8', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA 0100584"",    ""firmwareVersion"": """",    ""Reason"": """",    ""lmsi"": 450061222990181,    ""Entityid"": ""ASN_CSE-D- f288259452d-EVSP""}']","[4, 'c2292fde-331c-46f6-bf35-45a4054530f8', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
8,001_VTC_bootNotification_TC3_띄어쓰기_파라미터type_특수문자_필수파라미터누락_띄어쓰기_필수파라미터누락_특수문자_특수문자,0.1024611999746412,"[2, 'a928b476-89cf-46a4-823a-cc2ef4a86c73', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA#0100584"",    ""lmsi"": ""450061222#990181"",    ""Entityid"": ""ASN_CSE-D-#f288259452d-EVSP""}']","[4, 'a928b476-89cf-46a4-823a-cc2ef4a86c73', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
9,001_VTC_bootNotification_TC4_띄어쓰기_파라미터type_파라미터size_특수문자_필수파라미터누락_필수파라미터누락_파라미터type_필수파라미터누락,0.12604949995875359,"[2, '7a59b67c-793a-4b48-9c59-4de0962036c7', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA01005841111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""firmwareVersion"": ""0.2#10"",    ""Reason"": ""Power#Up"",    ""lmsi"": 450061222990181}']","[4, '7a59b67c-793a-4b48-9c59-4de0962036c7', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
